#separator:tab
#html:true
#notetype column:1
#deck column:2
#front column:3
#back column:4
#tags column:5
Basic	Beber::Verb Tenses	I drink	yo bebo	Beber Present Indicative
Basic	Beber::Verb Tenses	you drink	tú bebes	Beber Present Indicative
Basic	Beber::Verb Tenses	he drinks	él bebe	Beber Present Indicative
Basic	Beber::Verb Tenses	she drinks	ella bebe	Beber Present Indicative
Basic	Beber::Verb Tenses	you (formal) drink	usted bebe	Beber Present Indicative
Basic	Beber::Verb Tenses	we drink	nosotros bebemos	Beber Present Indicative
Basic	Beber::Verb Tenses	you all drink	ustedes beben	Beber Present Indicative
Basic	Beber::Verb Tenses	they drink	ellos beben	Beber Present Indicative
Basic	Beber::Verb Tenses	I drank	yo bebí	Beber Preterite
Basic	Beber::Verb Tenses	you drank	tú bebiste	Beber Preterite
Basic	Beber::Verb Tenses	he drank	él bebió	Beber Preterite
Basic	Beber::Verb Tenses	she drank	ella bebió	Beber Preterite
Basic	Beber::Verb Tenses	you (formal) drank	usted bebió	Beber Preterite
Basic	Beber::Verb Tenses	we drank	nosotros bebimos	Beber Preterite
Basic	Beber::Verb Tenses	you all drank	ustedes bebieron	Beber Preterite
Basic	Beber::Verb Tenses	they drank	ellos bebieron	Beber Preterite
Basic	Beber::Verb Tenses	I used to drink	yo bebía	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	you used to drink	tú bebías	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	he used to drink	él bebía	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	she used to drink	ella bebía	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	you (formal) used to drink	usted bebía	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	we used to drink	nosotros bebíamos	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	you all used to drink	ustedes bebían	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	they used to drink	ellos bebían	Beber Imperfect Indicative
Basic	Beber::Verb Tenses	I will drink	yo beberé	Beber Future Indicative
Basic	Beber::Verb Tenses	you will drink	tú beberás	Beber Future Indicative
