#separator:tab
#html:true
#notetype column:1
#deck column:2
#front column:3
#back column:4
#tags column:5
Basic	Aprender::Verb Tenses	I learn	yo aprendo	Aprender Present Indicative
Basic	Aprender::Verb Tenses	you learn	tú aprendes	Aprender Present Indicative
Basic	Aprender::Verb Tenses	he learns	él aprende	Aprender Present Indicative
Basic	Aprender::Verb Tenses	she learns	ella aprende	Aprender Present Indicative
Basic	Aprender::Verb Tenses	you (formal) learn	usted aprende	Aprender Present Indicative
Basic	Aprender::Verb Tenses	we learn	nosotros aprendemos	Aprender Present Indicative
Basic	Aprender::Verb Tenses	you all learn	ustedes aprenden	Aprender Present Indicative
Basic	Aprender::Verb Tenses	they learn	ellos aprenden	Aprender Present Indicative
Basic	Aprender::Verb Tenses	I learned	yo aprendí	Aprender Preterite
Basic	Aprender::Verb Tenses	you learned	tú aprendiste	Aprender Preterite
Basic	Aprender::Verb Tenses	he learned	él aprendió	Aprender Preterite
Basic	Aprender::Verb Tenses	she learned	ella aprendió	Aprender Preterite
Basic	Aprender::Verb Tenses	you (formal) learned	usted aprendió	Aprender Preterite
Basic	Aprender::Verb Tenses	we learned	nosotros aprendimos	Aprender Preterite
Basic	Aprender::Verb Tenses	you all learned	ustedes aprendieron	Aprender Preterite
Basic	Aprender::Verb Tenses	they learned	ellos aprendieron	Aprender Preterite
Basic	Aprender::Verb Tenses	I used to learn	yo aprendía	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	you used to learn	tú aprendías	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	he used to learn	él aprendía	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	she used to learn	ella aprendía	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	you (formal) used to learn	usted aprendía	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	we used to learn	nosotros aprendíamos	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	you all used to learn	ustedes aprendían	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	they used to learn	ellos aprendían	Aprender Imperfect Indicative
Basic	Aprender::Verb Tenses	I will learn	yo aprenderé	Aprender Future Indicative
Basic	Aprender::Verb Tenses	you will learn	tú aprenderás	Aprender Future Indicative
Basic	Aprender::Verb Tenses	he will learn	él aprenderá	Aprender Future Indicative
Basic	Aprender::Verb Tenses	she will learn	ella aprenderá	Aprender Future Indicative
Basic	Aprender::Verb Tenses	you (formal) will learn	usted aprenderá	Aprender Future Indicative
Basic	Aprender::Verb Tenses	we will learn	nosotros aprenderemos	Aprender Future Indicative
Basic	Aprender::Verb Tenses	you all will learn	ustedes aprenderán	Aprender Future Indicative
Basic	Aprender::Verb Tenses	they will learn	ellos aprenderán	Aprender Future Indicative
Basic	Aprender::Verb Tenses	I would learn	yo aprendería	Aprender Conditional
Basic	Aprender::Verb Tenses	you would learn	tú aprenderías	Aprender Conditional
Basic	Aprender::Verb Tenses	he would learn	él aprendería	Aprender Conditional
Basic	Aprender::Verb Tenses	she would learn	ella aprendería	Aprender Conditional
Basic	Aprender::Verb Tenses	you (formal) would learn	usted aprendería	Aprender Conditional
Basic	Aprender::Verb Tenses	we would learn	nosotros aprenderíamos	Aprender Conditional
Basic	Aprender::Verb Tenses	you all would learn	ustedes aprenderían	Aprender Conditional
Basic	Aprender::Verb Tenses	they would learn	ellos aprenderían	Aprender Conditional
Basic	Aprender::Verb Tenses	I learn (subjunctive)	yo aprenda	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	you learn (subjunctive)	tú aprendas	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	he learns (subjunctive)	él aprenda	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	she learns (subjunctive)	ella aprenda	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	you (formal) learn (subjunctive)	usted aprenda	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	we learn (subjunctive)	nosotros aprendamos	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	you all learn (subjunctive)	ustedes aprendan	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	they learn (subjunctive)	ellos aprendan	Aprender Present Subjunctive
Basic	Aprender::Verb Tenses	I learned (subjunctive)	yo aprendiera	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	you learned (subjunctive)	tú aprendieras	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	he learned (subjunctive)	él aprendiera	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	she learned (subjunctive)	ella aprendiera	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	you (formal) learned (subjunctive)	usted aprendiera	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	we learned (subjunctive)	nosotros aprendiéramos	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	you all learned (subjunctive)	ustedes aprendieran	Aprender Imperfect Subjunctive
Basic	Aprender::Verb Tenses	they learned (subjunctive)	ellos aprendieran	Aprender Imperfect Subjunctive
Basic	Aprender::Present::Indicative	I learn something new about God's character every time I read the Bible.	Aprendo algo nuevo sobre el carácter de Dios cada vez que leo la Biblia.	Aprender Present Indicative
Basic	Aprender::Present::Indicative	Do you learn better when you read Scripture alone or in a group?	¿Aprendes mejor cuando lees las Escrituras solo o en grupo?	Aprender Present Indicative
Basic	Aprender::Present::Indicative	She learns a new verse by heart every week during her quiet time.	Aprende un versículo nuevo de memoria cada semana durante su tiempo a solas.	Aprender Present Indicative
Basic	Aprender::Present::Indicative	We learn together what it means to walk in the ways of the Lord.	Aprendemos juntos lo que significa caminar en los caminos del Señor.	Aprender Present Indicative
Basic	Aprender::Present::Indicative	They learn the foundations of faith through consistent time in God's Word.	Aprenden los fundamentos de la fe a través del tiempo constante en la Palabra de Dios.	Aprender Present Indicative
Basic	Aprender::Present::Indicative	I learn the meaning of each passage by studying its historical context.	Aprendo el significado de cada pasaje estudiando su contexto histórico.	Aprender Present Indicative
