#separator:tab
#html:true
#notetype column:1
#deck column:2
#front column:3
#back column:4
#tags column:5
Basic	Decir::Verb Tenses	I say / tell	yo digo	Decir Present Indicative
Basic	Decir::Verb Tenses	you say / tell	tú dices	Decir Present Indicative
Basic	Decir::Verb Tenses	he says / tells	él dice	Decir Present Indicative
Basic	Decir::Verb Tenses	she says / tells	ella dice	Decir Present Indicative
Basic	Decir::Verb Tenses	you (formal) say / tell	usted dice	Decir Present Indicative
Basic	Decir::Verb Tenses	we say / tell	nosotros decimos	Decir Present Indicative
Basic	Decir::Verb Tenses	you all say / tell	ustedes dicen	Decir Present Indicative
Basic	Decir::Verb Tenses	they say / tell	ellos dicen	Decir Present Indicative
Basic	Decir::Verb Tenses	I said / told	yo dije	Decir Preterite
Basic	Decir::Verb Tenses	you said / told	tú dijiste	Decir Preterite
Basic	Decir::Verb Tenses	he said / told	él dijo	Decir Preterite
Basic	Decir::Verb Tenses	she said / told	ella dijo	Decir Preterite
Basic	Decir::Verb Tenses	you (formal) said / told	usted dijo	Decir Preterite
Basic	Decir::Verb Tenses	we said / told	nosotros dijimos	Decir Preterite
Basic	Decir::Verb Tenses	you all said / told	ustedes dijeron	Decir Preterite
Basic	Decir::Verb Tenses	they said / told	ellos dijeron	Decir Preterite
Basic	Decir::Verb Tenses	I used to say / tell	yo decía	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	you used to say / tell	tú decías	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	he used to say / tell	él decía	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	she used to say / tell	ella decía	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	you (formal) used to say / tell	usted decía	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	we used to say / tell	nosotros decíamos	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	you all used to say / tell	ustedes decían	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	they used to say / tell	ellos decían	Decir Imperfect Indicative
Basic	Decir::Verb Tenses	I will say / tell	yo diré	Decir Future Indicative
Basic	Decir::Verb Tenses	you will say / tell	tú dirás	Decir Future Indicative
Basic	Decir::Verb Tenses	he will say / tell	él dirá	Decir Future Indicative
Basic	Decir::Verb Tenses	she will say / tell	ella dirá	Decir Future Indicative
Basic	Decir::Verb Tenses	you (formal) will say / tell	usted dirá	Decir Future Indicative
Basic	Decir::Verb Tenses	we will say / tell	nosotros diremos	Decir Future Indicative
Basic	Decir::Verb Tenses	you all will say / tell	ustedes dirán	Decir Future Indicative
Basic	Decir::Verb Tenses	they will say / tell	ellos dirán	Decir Future Indicative
Basic	Decir::Verb Tenses	I would say / tell	yo diría	Decir Conditional
Basic	Decir::Verb Tenses	you would say / tell	tú dirías	Decir Conditional
Basic	Decir::Verb Tenses	he would say / tell	él diría	Decir Conditional
Basic	Decir::Verb Tenses	she would say / tell	ella diría	Decir Conditional
Basic	Decir::Verb Tenses	you (formal) would say / tell	usted diría	Decir Conditional
Basic	Decir::Verb Tenses	we would say / tell	nosotros diríamos	Decir Conditional
Basic	Decir::Verb Tenses	you all would say / tell	ustedes dirían	Decir Conditional
Basic	Decir::Verb Tenses	they would say / tell	ellos dirían	Decir Conditional
Basic	Decir::Verb Tenses	I say / tell (subjunctive)	yo diga	Decir Present Subjunctive
Basic	Decir::Verb Tenses	you say / tell (subjunctive)	tú digas	Decir Present Subjunctive
Basic	Decir::Verb Tenses	he says / tells (subjunctive)	él diga	Decir Present Subjunctive
Basic	Decir::Verb Tenses	she says / tells (subjunctive)	ella diga	Decir Present Subjunctive
Basic	Decir::Verb Tenses	you (formal) say / tell (subjunctive)	usted diga	Decir Present Subjunctive
Basic	Decir::Verb Tenses	we say / tell (subjunctive)	nosotros digamos	Decir Present Subjunctive
Basic	Decir::Verb Tenses	you all say / tell (subjunctive)	ustedes digan	Decir Present Subjunctive
Basic	Decir::Verb Tenses	they say / tell (subjunctive)	ellos digan	Decir Present Subjunctive
Basic	Decir::Verb Tenses	I said / told (subjunctive)	yo dijera	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	you said / told (subjunctive)	tú dijeras	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	he said / told (subjunctive)	él dijera	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	she said / told (subjunctive)	ella dijera	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	you (formal) said / told (subjunctive)	usted dijera	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	we said / told (subjunctive)	nosotros dijéramos	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	you all said / told (subjunctive)	ustedes dijeran	Decir Imperfect Subjunctive
Basic	Decir::Verb Tenses	they said / told (subjunctive)	ellos dijeran	Decir Imperfect Subjunctive
Basic	Decir::Present::Indicative	I say a prayer every morning before starting the day.	Digo una oración cada mañana antes de comenzar el día.	Decir Present Indicative
Basic	Decir::Present::Indicative	What do you say when someone asks about your faith?	¿Qué dices cuando alguien pregunta sobre tu fe?	Decir Present Indicative
Basic	Decir::Present::Indicative	She says the Lord is good and his mercy endures forever.	Dice que el Señor es bueno y su misericordia permanece para siempre.	Decir Present Indicative
Basic	Decir::Present::Indicative	We say what the Bible says and trust God with the rest.	Decimos lo que dice la Biblia y confiamos el resto en Dios.	Decir Present Indicative
Basic	Decir::Present::Indicative	They say that God is faithful in every season of life.	Dicen que Dios es fiel en cada temporada de la vida.	Decir Present Indicative
Basic	Decir::Present::Indicative	I say amen when someone prays in agreement with Scripture.	Digo amén cuando alguien ora de acuerdo con las Escrituras.	Decir Present Indicative
Basic	Decir::Present::Indicative	What does the Bible say about loving our neighbors?	¿Qué dice la Biblia sobre amar a nuestros prójimos?	Decir Present Indicative
Basic	Decir::Present::Indicative	He says God has a plan for every person who believes in him.	Dice que Dios tiene un plan para cada persona que cree en él.	Decir Present Indicative
Basic	Decir::Present::Indicative	We say that prayer changes things and we believe it.	Decimos que la oración cambia las cosas y lo creemos.	Decir Present Indicative
Basic	Decir::Present::Indicative	They say the sermon this week was the most powerful of the year.	Dicen que el sermón de esta semana fue el más poderoso del año.	Decir Present Indicative
Basic	Decir::Present::Indicative	I say thank you to God for every blessing in my life.	Digo gracias a Dios por cada bendición en mi vida.	Decir Present Indicative
Basic	Decir::Present::Indicative	What do you say to someone who has lost hope?	¿Qué dices a alguien que ha perdido la esperanza?	Decir Present Indicative
Basic	Decir::Present::Indicative	She says the tour guide gave excellent directions to the mission site.	Dice que el guía turístico dio excelentes instrucciones al sitio misionero.	Decir Present Indicative
Basic	Decir::Present::Indicative	We say hello and share the gospel wherever we travel.	Decimos hola y compartimos el evangelio dondequiera que viajamos.	Decir Present Indicative
Basic	Decir::Present::Indicative	They say the hotel staff was very helpful during the mission trip.	Dicen que el personal del hotel fue muy servicial durante el viaje misionero.	Decir Present Indicative
Basic	Decir::Present::Indicative	I say grace before every meal to thank God for his provision.	Digo gracia antes de cada comida para agradecer a Dios por su provisión.	Decir Present Indicative
Basic	Decir::Present::Indicative	What do you say to the waiter in Spanish when you want the check?	¿Qué le dices al mesero en español cuando quieres la cuenta?	Decir Present Indicative
Basic	Decir::Present::Indicative	She says the food at the church potluck is always a blessing.	Dice que la comida en el almuerzo compartido de la iglesia siempre es una bendición.	Decir Present Indicative
Basic	Decir::Present::Indicative	We say that cooking together is a form of ministry.	Decimos que cocinar juntos es una forma de ministerio.	Decir Present Indicative
Basic	Decir::Present::Indicative	They say the restaurant near the church makes the best tamales.	Dicen que el restaurante cerca de la iglesia hace los mejores tamales.	Decir Present Indicative
Basic	Decir::Present::Indicative	I say a blessing over our home every time I leave and return.	Digo una bendición sobre nuestro hogar cada vez que salgo y regreso.	Decir Present Indicative
Basic	Decir::Present::Indicative	What do you say to your children at bedtime to bring them peace?	¿Qué les dices a tus hijos a la hora de dormir para traerles paz?	Decir Present Indicative
Basic	Decir::Present::Indicative	She says the most important thing she can do is model faith at home.	Dice que lo más importante que puede hacer es modelar la fe en casa.	Decir Present Indicative
Basic	Decir::Present::Indicative	We say that a home built on prayer is a home built on rock.	Decimos que un hogar construido en oración es un hogar construido sobre la roca.	Decir Present Indicative
